  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.82304616            0.00000000        2276.12983954           -0.00000000         2276.12983954 
  5.0000e-15           99.43006643            0.00000000        2267.16925470           -0.00000000         2267.16925470 
  1.0000e-14           98.77588380            0.00000000        2252.25281323           -0.00000000         2252.25281323 
  1.5000e-14           97.86274191            0.00000000        2231.43167453           -0.00000000         2231.43167453 
  2.0000e-14           96.69420692            0.00000000        2204.78715238           -0.00000000         2204.78715238 
  2.5000e-14           95.27544708            0.00000000        2172.43709170           -0.00000000         2172.43709170 
  3.0000e-14           93.61359318            0.00000000        2134.54408609           -0.00000000         2134.54408609 
  3.5000e-14           91.71817531            0.00000000        2091.32543719           -0.00000000         2091.32543719 
  4.0000e-14           89.60162563            0.00000000        2043.06461894           -0.00000000         2043.06461894 
  4.5000e-14           87.27982724            0.00000000        1990.12379217           -0.00000000         1990.12379217 
  5.0000e-14           84.77267539            0.00000000        1932.95660142           -0.00000000         1932.95660142 
  5.5000e-14           82.10459940            0.00000000        1872.12007501           -0.00000000         1872.12007501 
  6.0000e-14           79.30497260            0.00000000        1808.28397361           -0.00000000         1808.28397361 
  6.5000e-14           76.40831815            0.00000000        1742.23548195           -0.00000000         1742.23548195 
  7.0000e-14           73.45420664            0.00000000        1674.87687468           -0.00000000         1674.87687468 
  7.5000e-14           70.48674794            0.00000000        1607.21392950           -0.00000000         1607.21392950 
  8.0000e-14           67.55361228            0.00000000        1540.33360634           -0.00000000         1540.33360634 
  8.5000e-14           64.70457698            0.00000000        1475.37090963           -0.00000000         1475.37090963 
  9.0000e-14           61.98967523            0.00000000        1413.46667893           -0.00000000         1413.46667893 
  9.5000e-14           59.45710104            0.00000000        1355.71981680           -0.00000000         1355.71981680 
  1.0000e-13           57.15107350            0.00000000        1303.13859138           -0.00000000         1303.13859138 
  1.0500e-13           55.10987046            0.00000000        1256.59580053           -0.00000000         1256.59580053 
  1.1000e-13           53.36420805            0.00000000        1216.79182305           -0.00000000         1216.79182305 
  1.1500e-13           51.93608655            0.00000000        1184.22830089           -0.00000000         1184.22830089 
  1.2000e-13           50.83816250            0.00000000        1159.19382452           -0.00000000         1159.19382452 
  1.2500e-13           50.07365433            0.00000000        1141.76177931           -0.00000000         1141.76177931 
  1.3000e-13           49.63674418            0.00000000        1131.79950848           -0.00000000         1131.79950848 
  1.3500e-13           49.51340384            0.00000000        1128.98714557           -0.00000000         1128.98714557 
  1.4000e-13           49.68254684            0.00000000        1132.84388447           -0.00000000         1132.84388447 
  1.4500e-13           50.11739509            0.00000000        1142.75914071           -0.00000000         1142.75914071 
  1.5000e-13           50.78694778            0.00000000        1158.02604452           -0.00000000         1158.02604452 
  1.5500e-13           51.65745157            0.00000000        1177.87496458           -0.00000000         1177.87496458 
  1.6000e-13           52.69379097            0.00000000        1201.50520949           -0.00000000         1201.50520949 
  1.6500e-13           53.86074066            0.00000000        1228.11358424           -0.00000000         1228.11358424 
  1.7000e-13           55.12404482            0.00000000        1256.91899934           -0.00000000         1256.91899934 
  1.7500e-13           56.45130757            0.00000000        1287.18277572           -0.00000000         1287.18277572 
  1.8000e-13           57.81269408            0.00000000        1318.22463025           -0.00000000         1318.22463025 
  1.8500e-13           59.18145184            0.00000000        1349.43456110           -0.00000000         1349.43456110 
  1.9000e-13           60.53426772            0.00000000        1380.28099101           -0.00000000         1380.28099101 
  1.9500e-13           61.85147952            0.00000000        1410.31558916           -0.00000000         1410.31558916 
  2.0000e-13           63.11716037            0.00000000        1439.17519682           -0.00000000         1439.17519682 
  2.0500e-13           64.31909323            0.00000000        1466.58124537           -0.00000000         1466.58124537 
  2.1000e-13           65.44864973            0.00000000        1492.33699374           -0.00000000         1492.33699374 
  2.1500e-13           66.50058459            0.00000000        1516.32284083           -0.00000000         1516.32284083 
  2.2000e-13           67.47275411            0.00000000        1538.48990685           -0.00000000         1538.48990685 
  2.2500e-13           68.36576579            0.00000000        1558.85204371           -0.00000000         1558.85204371 
  2.3000e-13           69.18256663            0.00000000        1577.47644798           -0.00000000         1577.47644798 
  2.3500e-13           69.92798097            0.00000000        1594.47312241           -0.00000000         1594.47312241 
  2.4000e-13           70.60821430            0.00000000        1609.98356256           -0.00000000         1609.98356256 
  2.4500e-13           71.23034709            0.00000000        1624.16921476           -0.00000000         1624.16921476 
  2.5000e-13           71.80184970            0.00000000        1637.20041531           -0.00000000         1637.20041531 
  2.5500e-13           72.33015357            0.00000000        1649.24661358           -0.00000000         1649.24661358 
  2.6000e-13           72.82231203            0.00000000        1660.46863708           -0.00000000         1660.46863708 
  2.6500e-13           73.28477426            0.00000000        1671.01353751           -0.00000000         1671.01353751 
  2.7000e-13           73.72327989            0.00000000        1681.01218789           -0.00000000         1681.01218789 
  2.7500e-13           74.14286289            0.00000000        1690.57937129           -0.00000000         1690.57937129 
  2.8000e-13           74.54793734            0.00000000        1699.81573590           -0.00000000         1699.81573590 
  2.8500e-13           74.94242885            0.00000000        1708.81079189           -0.00000000         1708.81079189 
  2.9000e-13           75.32991569            0.00000000        1717.64612997           -0.00000000         1717.64612997 
  2.9500e-13           75.71375125            0.00000000        1726.39821291           -0.00000000         1726.39821291 
  3.0000e-13           76.09715048            0.00000000        1735.14034665           -0.00000000         1735.14034665 
  3.0500e-13           76.48323420            0.00000000        1743.94369135           -0.00000000         1743.94369135 
  3.1000e-13           76.87503393            0.00000000        1752.87737024           -0.00000000         1752.87737024 
  3.1500e-13           77.27546492            0.00000000        1762.00785636           -0.00000000         1762.00785636 
  3.2000e-13           77.68727807            0.00000000        1771.39787419           -0.00000000         1771.39787419 
  3.2500e-13           78.11300133            0.00000000        1781.10506558           -0.00000000         1781.10506558 
  3.3000e-13           78.55488125            0.00000000        1791.18065554           -0.00000000         1791.18065554 
  3.3500e-13           79.01483354            0.00000000        1801.66832530           -0.00000000         1801.66832530 
  3.4000e-13           79.49441007            0.00000000        1812.60345986           -0.00000000         1812.60345986 
  3.4500e-13           79.99478732            0.00000000        1824.01288521           -0.00000000         1824.01288521 
  3.5000e-13           80.51677849            0.00000000        1835.91514341           -0.00000000         1835.91514341 
  3.5500e-13           81.06086767            0.00000000        1848.32127264           -0.00000000         1848.32127264 
  3.6000e-13           81.62726072            0.00000000        1861.23596709           -0.00000000         1861.23596709 
  3.6500e-13           82.21594329            0.00000000        1874.65889908           -0.00000000         1874.65889908 
  3.7000e-13           82.82673286            0.00000000        1888.58590710           -0.00000000         1888.58590710 
  3.7500e-13           83.45931027            0.00000000        1903.00971385           -0.00000000         1903.00971385 
  3.8000e-13           84.11321706            0.00000000        1917.91986540           -0.00000000         1917.91986540 
  3.8500e-13           84.78781035            0.00000000        1933.30170323           -0.00000000         1933.30170323 
  3.9000e-13           85.48217664            0.00000000        1949.13439817           -0.00000000         1949.13439817 
  3.9500e-13           86.19501797            0.00000000        1965.38835444           -0.00000000         1965.38835444 
  4.0000e-13           86.92453509            0.00000000        1982.02254614           -0.00000000         1982.02254614 
  4.0500e-13           87.66833770            0.00000000        1998.98247048           -0.00000000         1998.98247048 
  4.1000e-13           88.42340776            0.00000000        2016.19931123           -0.00000000         2016.19931123 
  4.1500e-13           89.18612896            0.00000000        2033.59061080           -0.00000000         2033.59061080 
  4.2000e-13           89.95237821            0.00000000        2051.06235556           -0.00000000         2051.06235556 
  4.2500e-13           90.71766009            0.00000000        2068.51204267           -0.00000000         2068.51204267 
  4.3000e-13           91.47725861            0.00000000        2085.83213973           -0.00000000         2085.83213973 
  4.3500e-13           92.22638261            0.00000000        2102.91340049           -0.00000000         2102.91340049 
  4.4000e-13           92.96029019            0.00000000        2119.64770206           -0.00000000         2119.64770206 
  4.4500e-13           93.67438850            0.00000000        2135.93031935           -0.00000000         2135.93031935 
  4.5000e-13           94.36431427            0.00000000        2151.66176310           -0.00000000         2151.66176310 
  4.5500e-13           95.02600622            0.00000000        2166.74942933           -0.00000000         2166.74942933 
  4.6000e-13           95.65578087            0.00000000        2181.10932840           -0.00000000         2181.10932840 
  4.6500e-13           96.25042055     80467840.79271355        2194.66809242           -0.00000000         2194.66809242 
  4.7000e-13           96.80826945            0.00000000        2207.38796602           -0.00000000         2207.38796602 
  4.7500e-13           97.32621046            0.00000000        2219.19787390           -0.00000000         2219.19787390 
  4.8000e-13           97.80305792            0.00000000        2230.07078115           -0.00000000         2230.07078115 
  4.8500e-13           98.23850517            0.00000000        2239.99969554           -0.00000000         2239.99969554 
  4.9000e-13           98.63316825            0.00000000        2248.99866378           -0.00000000         2248.99866378 
  4.9500e-13           98.98856603     94972998.72779362        2257.10231853           -0.00000000         2257.10231853 
  5.0000e-13           99.30766187            0.00000000        2264.37822905           -0.00000000         2264.37822905 
  5.0500e-13           99.59277114            0.00000000        2270.87918988           -0.00000000         2270.87918988 
  5.1000e-13           99.84726944            0.00000000        2276.68217023           -0.00000000         2276.68217023 
  5.1500e-13          100.07468522            0.00000000        2281.86762457           -0.00000000         2281.86762457 
  5.2000e-13          100.27844744            0.00000000        2286.51373863           -0.00000000         2286.51373863 
  5.2500e-13          100.46167271            0.00000000        2290.69157652           -0.00000000         2290.69157652 
  5.3000e-13          100.62701459            0.00000000        2294.46164378           -0.00000000         2294.46164378 
  5.3500e-13          100.77658119            0.00000000        2297.87200859           -0.00000000         2297.87200859 
  5.4000e-13          100.91191187            0.00000000        2300.95777090           -0.00000000         2300.95777090 
  5.4500e-13          101.03399489            0.00000000        2303.74146487           -0.00000000         2303.74146487 
  5.5000e-13          101.14330778            0.00000000        2306.23397878           -0.00000000         2306.23397878 
  5.5500e-13          101.23986948            0.00000000        2308.43574448           -0.00000000         2308.43574448 
  5.6000e-13          101.32330360            0.00000000        2310.33817975           -0.00000000         2310.33817975 
  5.6500e-13          101.39291989            0.00000000        2311.92554595           -0.00000000         2311.92554595 
  5.7000e-13          101.44782303     53725445.42242643        2313.17742791           -0.00000000         2313.17742791 
  5.7500e-13          101.48814275            0.00000000        2314.09678401           -0.00000000         2314.09678401 
  5.8000e-13          101.51191970            0.00000000        2314.63893746           -0.00000000         2314.63893746 
  5.8500e-13          101.51857558            0.00000000        2314.79070253           -0.00000000         2314.79070253 
  5.9000e-13          101.50797665            0.00000000        2314.54902960           -0.00000000         2314.54902960 
  5.9500e-13          101.48056058     77381903.00105305        2313.92389799           -0.00000000         2313.92389799 
  6.0000e-13          101.43933409            0.00000000        2312.98386605           -0.00000000         2312.98386605 
  6.0500e-13          101.38373260            0.00000000        2311.71606065           -0.00000000         2311.71606065 
  6.1000e-13          101.31597197            0.00000000        2310.17100659           -0.00000000         2310.17100659 
  6.1500e-13          101.23869804            0.00000000        2308.40903375           -0.00000000         2308.40903375 
  6.2000e-13          101.15482752            0.00000000        2306.49664772           -0.00000000         2306.49664772 
  6.2500e-13          101.06738109     68892508.72990592        2304.50272520           -0.00000000         2304.50272520 
  6.3000e-13          100.98235937    169562217.57480586        2302.56409000           -0.00000000         2302.56409000 
  6.3500e-13          100.90171504     91051991.64620332        2300.72526642           -0.00000000         2300.72526642 
  6.4000e-13          100.83013437    137291796.43553859        2299.09310925           -0.00000000         2299.09310925 
  6.4500e-13          100.76933384     76790530.79178074        2297.70675696           -0.00000000         2297.70675696 
  6.5000e-13          100.71870633            0.00000000        2296.55236643           -0.00000000         2296.55236643 
  6.5500e-13          100.67788021    174120187.50646010        2295.62146378           -0.00000000         2295.62146378 
  6.6000e-13          100.65335634     55952001.33696831        2295.06227904           -0.00000000         2295.06227904 
  6.6500e-13          100.64095823            0.00000000        2294.77958165           -0.00000000         2294.77958165 
  6.7000e-13          100.63944682            0.00000000        2294.74511908           -0.00000000         2294.74511908 
  6.7500e-13          100.64844831    184333714.88951510        2294.95036799           -0.00000000         2294.95036799 
  6.8000e-13          100.67252935     54293960.88431127        2295.49945517           -0.00000000         2295.49945517 
  6.8500e-13          100.70772319            0.00000000        2296.30193266           -0.00000000         2296.30193266 
  6.9000e-13          100.75021744    138303134.85529304        2297.27087154           -0.00000000         2297.27087154 
  6.9500e-13          100.80102808            0.00000000        2298.42943787           -0.00000000         2298.42943787 
  7.0000e-13          100.85562072            0.00000000        2299.67424003           -0.00000000         2299.67424003 
  7.0500e-13          100.91232226            0.00000000        2300.96712839           -0.00000000         2300.96712839 
  7.1000e-13          100.96940922     93534525.90596628        2302.26880509           -0.00000000         2302.26880509 
  7.1500e-13          101.02759652     44072793.52679916        2303.59557150           -0.00000000         2303.59557150 
  7.2000e-13          101.08391338    136421853.71470761        2304.87968870           -0.00000000         2304.87968870 
  7.2500e-13          101.13807978            0.00000000        2306.11477175           -0.00000000         2306.11477175 
  7.3000e-13          101.18517317            0.00000000        2307.18857854           -0.00000000         2307.18857854 
  7.3500e-13          101.22338099    146989078.74298987        2308.05977976           -0.00000000         2308.05977976 
  7.4000e-13          101.25333019            0.00000000        2308.74267088           -0.00000000         2308.74267088 
  7.4500e-13          101.27058257            0.00000000        2309.13605347           -0.00000000         2309.13605347 
  7.5000e-13          101.27339646     52543282.45657424        2309.20021476           -0.00000000         2309.20021476 
  7.5500e-13          101.26078631     50478875.56357418        2308.91268274           -0.00000000         2308.91268274 
  7.6000e-13          101.23304464    114192522.87103927        2308.28012701           -0.00000000         2308.28012701 
  7.6500e-13          101.18987232    184462270.03999460        2307.29572687           -0.00000000         2307.29572687 
  7.7000e-13          101.13258705     57767040.79904337        2305.98952838           -0.00000000         2305.98952838 
  7.7500e-13          101.05589851    172816247.22602352        2304.24090342           -0.00000000         2304.24090342 
  7.8000e-13          100.95946799    199581971.05128345        2302.04212876           -0.00000000         2302.04212876 
  7.8500e-13          100.84482290            0.00000000        2299.42803193           -0.00000000         2299.42803193 
  7.9000e-13          100.70813257            0.00000000        2296.31126733           -0.00000000         2296.31126733 
  7.9500e-13          100.55048554     82852587.33577287        2292.71665534           -0.00000000         2292.71665534 
  8.0000e-13          100.37641283     64663370.56569895        2288.74751090           -0.00000000         2288.74751090 
  8.0500e-13          100.18676613     62818096.02548306        2284.42325393           -0.00000000         2284.42325393 
  8.1000e-13           99.98466180     40673745.13708078        2279.81494242           -0.00000000         2279.81494242 
  8.1500e-13           99.77160875    145899561.29021925        2274.95698186           -0.00000000         2274.95698186 
  8.2000e-13           99.53636549     52575189.96368060        2269.59304820           -0.00000000         2269.59304820 
  8.2500e-13           99.29634768     26785077.41032336        2264.12024679           -0.00000000         2264.12024679 
  8.3000e-13           99.05395837     44394650.13588322        2258.59337151           -0.00000000         2258.59337151 
  8.3500e-13           98.81438787     48920596.85750351        2253.13076963           -0.00000000         2253.13076963 
  8.4000e-13           98.58042596     99841331.50920239        2247.79605270           -0.00000000         2247.79605270 
  8.4500e-13           98.35924710     47265490.83402531        2242.75281058           -0.00000000         2242.75281058 
  8.5000e-13           98.15077812            0.00000000        2237.99937443           -0.00000000         2237.99937443 
  8.5500e-13           97.95611074            0.00000000        2233.56063765           -0.00000000         2233.56063765 
  8.6000e-13           97.77808469            0.00000000        2229.50135040           -0.00000000         2229.50135040 
  8.6500e-13           97.61951263            0.00000000        2225.88564639           -0.00000000         2225.88564639 
  8.7000e-13           97.48321955            0.00000000        2222.77793981           -0.00000000         2222.77793981 
  8.7500e-13           97.37199807     26645073.59459255        2220.24190670           -0.00000000         2220.24190670 
  8.8000e-13           97.28906348            0.00000000        2218.35086147           -0.00000000         2218.35086147 
  8.8500e-13           97.23593336            0.00000000        2217.13940730           -0.00000000         2217.13940730 
  8.9000e-13           97.21403968     50761698.24192408        2216.64019533           -0.00000000         2216.64019533 
  8.9500e-13           97.22311588            0.00000000        2216.84714765           -0.00000000         2216.84714765 
  9.0000e-13           97.26306066            0.00000000        2217.75795453           -0.00000000         2217.75795453 
  9.0500e-13           97.33200724     31399035.52522333        2219.33005000           -0.00000000         2219.33005000 
  9.1000e-13           97.42757435    134108345.84832451        2221.50913750           -0.00000000         2221.50913750 
  9.1500e-13           97.54394799     46993105.59797427        2224.16264819           -0.00000000         2224.16264819 
  9.2000e-13           97.68010371            0.00000000        2227.26722280           -0.00000000         2227.26722280 
  9.2500e-13           97.83010423            0.00000000        2230.68748176           -0.00000000         2230.68748176 
  9.3000e-13           97.98964495     42377817.22695345        2234.32527282           -0.00000000         2234.32527282 
  9.3500e-13           98.15601336     46175612.27357859        2238.11874653           -0.00000000         2238.11874653 
  9.4000e-13           98.32458173     56844353.03844224        2241.96238289           -0.00000000         2241.96238289 
  9.4500e-13           98.49288488    131755971.20858440        2245.79997201           -0.00000000         2245.79997201 
  9.5000e-13           98.65158718     61568287.06432266        2249.41864578           -0.00000000         2249.41864578 
  9.5500e-13           98.80114201     41643130.79507562        2252.82874216           -0.00000000         2252.82874216 
  9.6000e-13           98.93896752     73259641.78394963        2255.97139073           -0.00000000         2255.97139073 
  9.6500e-13           99.05403978            0.00000000        2258.59522784           -0.00000000         2258.59522784 
  9.7000e-13           99.15223552     59873855.60276441        2260.83425230           -0.00000000         2260.83425230 
  9.7500e-13           99.22818458     65545500.69835027        2262.56601593           -0.00000000         2262.56601593 
  9.8000e-13           99.28729817    133043291.21244319        2263.91390326           -0.00000000         2263.91390326 
  9.8500e-13           99.33267685     67949306.32187505        2264.94861178           -0.00000000         2264.94861178 
  9.9000e-13           99.35825602            0.00000000        2265.53185893           -0.00000000         2265.53185893 
  9.9500e-13           99.36543759    118461652.35064137        2265.69561064           -0.00000000         2265.69561064 
  1.0000e-12           99.35960474            0.00000000        2265.56261202           -0.00000000         2265.56261202 
